"Scientific name","New","Common name","Clade","Taxon ID","Assembly name","Accession","Genome size (bps)","Annotation provider","Annotation","Genome","RNA Seq"
"Anas zonorhyncha","","Eastern spot-billed duck","Birds","75864","ASM222487v1","GCA_002224875.1","1,310,797,575","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Ancistrocerus nigricornis","","Wasps, ants, and bees","Arthropods","76990","iyAncNigr1.1_alternate_haplotype","GCA_916050135.1","210,379,627","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Ancistrocerus nigricornis","","Wasps, ants, and bees","Arthropods","76990","iyAncNigr1.1","GCA_916049575.1","231,995,547","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Andrena haemorrhoa","","Bees","Arthropods","444401","iyAndHaem1.1","GCA_910592295.1","330,670,691","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Anguilla anguilla","","European eel","Fish","7936","fAngAng1.pri","GCA_013347855.1","979,029,243","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Anneissia japonica","","Sea lily (Jap-2015-1)","Metazoa","1529436","GCA011630105v1","GCA_011630105.1","589,628,371","NCBI","FASTA/GTF/GFF3/TSV","FASTA",""
"Anolis carolinensis","","Green anole","Reptiles","28377","AnoCar2.0","GCA_000090745.2","1,799,143,587","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Anopheles atroparvus","","Mosquito (Infravec2 EBRE)","Arthropods","41427","atroparvus_hifiasm_n225_277Mb","GCA_914969975.1","277,763,289","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Anser cygnoides domesticus","","Swan goose (Zhedong)","Birds","381198","AnsCyg_PRJNA183603_v1.0","GCA_000971095.1","1,119,151,626","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Anthocharis cardamines","","Orange tip","Lepidoptera","227532","ilAntCard3.1_alternate_haplotype","GCA_905404305.1","327,220,656","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Anthocharis cardamines","","Orange tip","Lepidoptera","227532","ilAntCard3.1","GCA_905404175.1","359,601,502","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Aphidius gifuensis","","Parasitoid wasp (YNYX2018)","Arthropods","684658","GCA014905175v1","GCA_014905175.1","156,964,627","NCBI","FASTA/GTF/GFF3/TSV","FASTA",""
"Aplysia californica","","California sea hare (F4 #8)","Metazoa","6500","AplCal3.0","GCA_000002075.2","927,310,431","NCBI","FASTA/GTF/GFF3/TSV","FASTA",""
"Aporia crataegi","","Black-veined white","Lepidoptera","129397","ilApoCrat1.1","GCA_912999735.1","229,678,889","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Aporia crataegi","","Black-veined white","Lepidoptera","129397","ilApoCrat1.1_alternate_haplotype","GCA_912999795.1","226,642,800","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Aptenodytes patagonicus","","King penguin","Birds","9234","BGI_Apat.V1","GCA_010087175.1","1,252,291,219","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Aquila chrysaetos chrysaetos","","Golden eagle","Birds","223781","bAquChr1.2","GCA_900496995.2","1,203,454,851","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Archocentrus centrarchus","","Flier cichlid","Fish","63155","fArcCen1","GCA_007364275.2","932,930,362","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Aricia agestis","","Brown argus","Lepidoptera","91739","ilAriAges1.1","GCA_905147365.1","435,265,205","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Artibeus jamaicensis","","Jamaican fruit-eating bat","Mammals","9417","WHU_Ajam_v2","GCA_014825515.1","2,207,601,705","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Artibeus jamaicensis","","Jamaican fruit-eating bat","Mammals","9417","ArtJam_v1_BIUU","GCA_004027435.1","2,424,784,351","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Arvicanthis niloticus","","African grass rat","Mammals","61156","mArvNil1.pat.X","GCA_011762505.1","2,496,761,438","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Arvicola amphibius","","Eurasian water vole","Mammals","1047088","mArvAmp1.1","GCA_903992535.1","2,297,765,997","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Astatotilapia calliptera","","Eastern happy","Fish","8154","fAstCal1.2","GCA_900246225.3","880,428,986","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Asterias rubens","","European starfish","Metazoa","7604","eAstRub1.3","GCA_902459465.3","417,601,740","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Ateles geoffroyi","","Black-handed spider monkey","Mammals","9509","AteGeo_v1_BIUU","GCA_004024785.1","2,897,033,911","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Athalia rosae","","Coleseed sawfly (CS-ADULT)","Arthropods","37344","Aros_2.0","GCA_000344095.2","155,841,210","NCBI","FASTA/GTF/GFF3/TSV","FASTA",""
"Athalia rosae","","Coleseed sawfly","Arthropods","37344","iyAthRosa1.1","GCA_917208135.1","171,955,050","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Autographa gamma","","Silver Y moth","Lepidoptera","254363","ilAutGamm1.1_alternate_haplotype","GCA_905146835.1","337,172,335","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Autographa pulchrina","","Moths","Lepidoptera","987893","ilAutPulc1.1","GCA_905475315.1","426,225,690","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Autographa pulchrina","","Moths","Lepidoptera","987893","ilAutPulc1.1_alternate_haplotype","GCA_905475435.1","389,313,284","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bactrocera dorsalis","","Oriental fruit fly (Punador)","Arthropods","27457","GCA000789215v2","GCA_000789215.2","414,984,608","NCBI","FASTA/GTF/GFF3/TSV","FASTA",""
"Bactrocera latifrons","","Solanum fruit fly (USDA-ARS-PBARC rearing strain)","Arthropods","174628","GCA001853355v1","GCA_001853355.1","462,505,359","NCBI","FASTA/GTF/GFF3/TSV","FASTA",""
"Bactrocera tryoni","","Queensland fruitfly (S06)","Arthropods","59916","CSIRO_BtryS06_freeze1","GCA_016617805.2","570,658,800","NCBI","FASTA/GTF/GFF3/TSV","FASTA",""
"Balaenoptera musculus","","Blue whale","Mammals","9771","mBalMus1.v2","GCA_009873245.2","2,379,995,981","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Balaenoptera musculus","","Blue whale","Mammals","9771","mBalMus1.pri.v3","GCA_009873245.3","2,374,852,541","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bembecia ichneumoniformis","","Six-belted clearwing","Lepidoptera","301037","ilBemIchn1.1_alternate_haplotype","GCA_910589565.1","439,071,152","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bembecia ichneumoniformis","","Six-belted clearwing","Lepidoptera","301037","ilBemIchn1.1","GCA_910589475.1","511,395,034","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Betta splendens","","Siamese fighting fish","Fish","158456","fBetSpl5.2","GCA_900634795.2","441,371,523","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bibio marci","NEW","St. Mark's fly","Arthropods","189979","idBibMarc1.1_alternate_haplotype","GCA_910594895.1","320,054,162","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Biston betularia","","Pepper-and-salt moth","Lepidoptera","82595","ilBisBetu1.1","GCA_905404145.1","404,509,252","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Biston betularia","","Pepper-and-salt moth","Lepidoptera","82595","ilBisBetu1.1_alternate_haplotype","GCA_905404215.1","404,631,406","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Blastobasis adustella","","Moths","Lepidoptera","1869501","ilBlaAdus2.1_alternate_haplotype","GCA_907269055.1","396,622,972","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Blastobasis adustella","","Moths","Lepidoptera","1869501","ilBlaAdus2.1","GCA_907269095.1","557,424,730","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Blastobasis lacticolella","","Moths","Lepidoptera","2561016","ilBlaLact1.1","GCA_905147135.1","577,068,156","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Blastobasis lacticolella","","Moths","Lepidoptera","2561016","ilBlaLact1.1_alternate_haplotype","GCA_905147205.1","539,891,459","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bombus bifarius","","Bees","Arthropods","103933","Bbif_JDL3187","GCA_011952205.1","266,784,621","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bombus breviceps","","Bees","Arthropods","395515","ASM1482592v1","GCA_014825925.1","248,124,274","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bombus campestris","","Bees","Arthropods","207624","iyBomCamp1.1","GCA_905333015.1","270,743,918","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bombus confusus","","Bees","Arthropods","217217","ASM1473747v1","GCA_014737475.1","239,101,172","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bombus consobrinus","","Bees","Arthropods","130686","ASM1473745v1","GCA_014737455.1","249,068,899","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bombus cullumanus","","Bees","Arthropods","2562068","ASM1473753v1","GCA_014737535.1","246,986,414","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bombus difficillimus","","Bees","Arthropods","395520","ASM1473752v1","GCA_014737525.1","243,560,081","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bombus haemorrhoidalis","","Bees","Arthropods","207636","ASM1482597v1","GCA_014825975.1","240,538,686","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bombus hortorum","","Bees","Arthropods","85660","iyBomHort1.1","GCA_905332935.1","296,297,395","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bombus hypnorum","","Bees","Arthropods","30191","iyBomHypn1.1","GCA_911387925.1","297,334,159","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bombus impatiens","","Common eastern bumble bee","Arthropods","132113","BIMP_2.2","GCA_000188095.4","246,856,484","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bombus opulentus","","Bees","Arthropods","2024865","ASM1473740v1","GCA_014737405.1","242,353,651","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bombus pascuorum","","Bees","Arthropods","65598","iyBomPasc1.1_alternate_haplotype","GCA_905332995.1","276,214,278","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bombus pascuorum","","Bees","Arthropods","65598","iyBomPasc1.1","GCA_905332965.1","307,548,333","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bombus picipes","","Bees","Arthropods","309970","ASM1473748v1","GCA_014737485.1","253,987,937","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bombus polaris","","Bees","Arthropods","130708","ASM1473733v1","GCA_014737335.1","245,790,074","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bombus pyrosoma","","Bees","Arthropods","396416","ASM1482585v1","GCA_014825855.1","254,804,690","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bombus sibiricus","","Bees","Arthropods","421273","ASM1473750v1","GCA_014737505.1","262,420,024","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bombus skorikovi","","Bees","Arthropods","395565","ASM1473735v1","GCA_014737355.1","242,038,170","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bombus soroeensis","","Bees","Arthropods","184059","ASM1473736v1","GCA_014737365.1","243,573,539","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bombus superbus","","Bees","Arthropods","1869276","ASM1473738v1","GCA_014737385.1","230,139,620","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bombus sylvestris","","Bees","Arthropods","30201","iyBomSyle1.1","GCA_911622165.1","302,565,711","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bombus terrestris","","Buff-tailed bumblebee","Arthropods","30195","iyBomTerr1.1","GCA_910591885.1","393,078,396","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bombus terrestris","","Buff-tailed bumblebee","Arthropods","30195","Bter_1.0","GCA_000214255.1","248,654,244","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bombus turneri","","Bees","Arthropods","686820","ASM1482582v1","GCA_014825825.1","243,111,512","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bombus vancouverensis nearcticus","","Bees","Arthropods","2705178","Bvanc_JDL1245","GCA_011952275.1","282,133,710","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bombus waltoni","","Bees","Arthropods","395577","ASM1473739v1","GCA_014737395.1","231,149,577","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bos gaurus","","Gaur","Mammals","9904","ARS_UOA_Gaur_1","GCA_014182915.1","2,717,333,235","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Bos mutus","","Wild yak (Datong Yak)","Mammals","72004","ASM764659v3","GCA_007646595.3","2,761,379,179","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bubalus bubalis","","Water buffalo","Mammals","89462","UOA_WB_1","GCA_003121395.1","2,655,780,776","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Bubo bubo","","Eurasian eagle-owl","Birds","30461","BubBub1.0","GCA_010303855.1","1,258,069,325","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Bufo gargarizans","","Asiatic toad","Amphibians","30331","ASM1485885v1","GCA_014858855.1","4,545,465,442","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Buteo japonicus","","Eastern buzzard","Birds","224669","ButJap1.0","GCA_010312235.1","1,259,715,124","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Cairina moschata domestica","","Muscovy Duck (domestic type)","Birds","1240228","CaiMos1.0","GCA_009194515.1","1,109,207,201","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Cajanus cajan","","Pigeon pea","Plants","3821","C.cajan_V1.0","GCA_000340665.1","592,816,859","IIPG","FASTA/GTF/GFF3/TSV","FASTA",""
"Callithrix jacchus","","White-tufted-ear marmoset","Mammals","9483","mCalJac1.pat.X","GCA_011100555.1","2,829,711,198","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Callorhinus ursinus","","Northern fur seal","Mammals","34884","ASM326570v1","GCA_003265705.1","2,706,868,872","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Camarhynchus parvulus","","Small tree finch","Birds","87175","Camarhynchus_parvulus_V1.1","GCA_902806625.1","1,064,016,364","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Camelus ferus","","Wild Bactrian camel","Mammals","419612","BCGSAC_Cfer_1.0","GCA_009834535.1","2,087,093,976","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Canis lupus familiaris","","Dog (Basenji)","Mammals","9615","Basenji_breed-1.1","GCA_004886185.1","2,410,429,933","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Canis lupus familiaris","","Dog (German Shepherd)","Mammals","9615","ASM864105v3","GCA_008641055.3","2,407,226,110","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Canis lupus familiaris","","Dog (German Shepherd)","Mammals","9615","ASM864105v1","GCA_008641055.1","2,407,291,559","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Canis lupus familiaris","","Dog (Great Dane)","Mammals","9615","UMICH_Zoey_3.1","GCA_005444595.1","2,343,202,000","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Canis lupus familiaris","","Dog (Basenji)","Mammals","9615","Basenji_breed-1.1","GCA_004886185.2","2,410,429,933","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Canis lupus familiaris","","Dog (Labrador retriever)","Mammals","9615","ROS_Cfam_1.0","GCA_014441545.1","2,396,858,295","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Canis lupus familiaris","","Dog (Boxer)","Mammals","9615","Dog10K_Boxer_Tasha","GCA_000002285.4","2,312,785,471","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Canis lupus familiaris","","Dog (German Shepherd)","Mammals","9615","UU_Cfam_GSD_1.0","GCA_011100685.1","2,481,983,352","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Capra hircus","","Goat (Black Bengal)","Mammals","9925","CVASU_BBG_1.0","GCA_004361675.1","3,041,623,660","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Capra hircus","","Goat","Mammals","9925","ARS1","GCA_001704415.1","2,922,813,246","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Capreolus pygargus","","Eastern roe deer","Mammals","48560","ASM1292296v1","GCA_012922965.1","2,607,832,873","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Carassius auratus red var.","","Red crucian carp","Fish","657186","ASM906956v1","GCA_009069565.1","1,436,409,119","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Catharus ustulatus","","Swainson's thrush","Birds","91951","bCatUst1.pri","GCA_009819885.1","1,131,616,430","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Cavia tschudii","","Montane guinea pig","Mammals","143287","CavTsc_v1_BIUU","GCA_004027695.1","3,077,352,510","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Celastrina argiolus","","Holly blue","Lepidoptera","203782","ilCelArgi3.1_alternate_haplotype","GCA_905147145.1","473,038,342","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Celastrina argiolus","","Holly blue","Lepidoptera","203782","ilCelArgi3.1","GCA_905187575.1","499,098,782","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Centruroides sculpturatus","","Bark scorpion (CEXI.00-Female)","Arthropods","218467","Cexi_2.0","GCA_000671375.2","925,474,958","NCBI","FASTA/GTF/GFF3/TSV","FASTA",""
"Ceratitis capitata","","Mediterranean fruit fly","Arthropods","7213","Ccap_2.0","GCA_000347755.4","436,490,799","NCBI","FASTA/GTF/GFF3/TSV","FASTA",""
"Cerceris rybyensis","","Bees","Arthropods","1167272","iyCerRyby1.1","GCA_910591515.1","418,076,835","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Cervus hanglu yarkandensis","","Yarkand deer","Mammals","84702","CEY_v1","GCA_010411085.1","2,594,114,534","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Cheirogaleus medius","","Lesser dwarf lemur","Mammals","9460","CheMed_v1_BIUU","GCA_004024725.1","2,393,092,913","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Chiroxiphia lanceolata","","Lance-tailed manakin","Birds","296741","bChiLan1.pri","GCA_009829145.1","1,089,631,598","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Choloepus didactylus","","Southern two-toed sloth","Mammals","27675","mChoDid1.pri","GCA_015220235.1","3,214,702,648","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Chrysemys picta","","Painted turtle","Reptiles","8479","ASM1138683v1","GCA_011386835.1","2,335,704,405","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Chrysotoxum bicinctum","NEW","Flies","Arthropods","323313","idChrBici1.1_alternate_haplotype","GCA_911387745.1","897,053,803","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Chrysotoxum bicinctum","NEW","Flies","Arthropods","323313","idChrBici1.1","GCA_911387755.1","912,918,972","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Cimex lectularius","","Bed bug (Harlan)","Arthropods","79782","Clec_2.0","GCA_000648675.3","510,848,842","NCBI","FASTA/GTF/GFF3/TSV","FASTA",""
"Clostera curtula","","Moths","Lepidoptera","987902","ilCloCurt1.1","GCA_905475355.1","512,665,902","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Clostera curtula","","Moths","Lepidoptera","987902","ilCloCurt1.1_alternate_haplotype","GCA_905475325.1","461,785,041","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Clytia hemisphaerica","","(Z4C2)","Metazoa","252671","GCA902728285v1","GCA_902728285.1","420,978,673","Institut de la Mer de Villefranche","FASTA/GTF/GFF3/TSV","FASTA",""
"Coccinella septempunctata","NEW","Seven-spotted ladybird","Arthropods","41139","icCocSept1.1","GCA_907165205.1","398,849,173","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Coccinella septempunctata","NEW","Seven-spotted ladybird","Arthropods","41139","icCocSept1.1_alternate_haplotype","GCA_907165185.1","389,073,761","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Colias croceus","","Clouded yellow","Lepidoptera","72248","ilColCroc2.1_alternate_haplotype","GCA_905220445.1","305,561,395","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Colias croceus","","Clouded yellow","Lepidoptera","72248","ilColCroc2.1","GCA_905220415.1","324,897,031","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Colletes gigas","","Bees","Arthropods","935657","ASM1312311v1","GCA_013123115.1","273,056,604","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Copidosoma floridanum","","Parasitoid wasp (CFLO.00-Male)","Arthropods","29053","Cflo_2.0","GCA_000648655.2","553,956,141","NCBI","FASTA/GTF/GFF3/TSV","FASTA",""
"Coremacera marginata","NEW","Flies","Arthropods","1226616","idCorMarg1.1","GCA_914767935.1","979,662,365","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Coremacera marginata","NEW","Flies","Arthropods","1226616","idCorMarg1.1_alternate_haplotype","GCA_914767655.1","947,321,026","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Corvus moneduloides","","New Caledonian crow","Birds","1196302","UO_Cmon_1.0","GCA_009650515.1","1,056,558,033","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Corvus moneduloides","","New Caledonian crow","Birds","1196302","bCorMon1.pri","GCA_009650955.1","1,112,734,094","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Cotesia glomerata","","White butterfly parasite wasp (CgM1)","Arthropods","32391","MPM_Cglom_v2.3","GCA_020080835.1","288,846,213","NCBI","FASTA/GTF/GFF3/TSV","FASTA",""
"Cottoperca gobio","","Channel bull blenny","Fish","56716","fCotGob3.1","GCA_900634415.1","609,391,784","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Craniophora ligustri","","Moths","Lepidoptera","938226","ilCraLigu1.1","GCA_905163465.1","437,978,302","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Craniophora ligustri","","Moths","Lepidoptera","938226","ilCraLigu1.1_alternate_haplotype","GCA_905163585.1","399,761,949","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Crassostrea gigas","","Pacific oyster","Metazoa","29159","GCA902806645v1","GCA_902806645.1","647,905,321","The Roslin Institute, The University of Edinburgh","FASTA/GTF/GFF3/TSV","FASTA",""
"Crassostrea virginica","","Eastern oyster (RU13XGHG1-28)","Metazoa","6565","C_virginica_3.0","GCA_002022765.4","684,741,128","NCBI","FASTA/GTF/GFF3/TSV","FASTA",""
"Crocuta crocuta","","Spotted hyena","Mammals","9678","BGI_CrCroc_1.0","GCA_008692635.1","2,348,360,376","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
